site_id,layer_id,fc0_mean,fc0_sd,fc_trend_pct_per_year,trend_sd,d50_mean,d50_sd,model_status,proxy_available
Capitol_Lake_01,L1,,,,,,,baseline_uncertainty_only,CPT Ic proxy
Capitol_Lake_01,L2,,,,,,,baseline_uncertainty_only,CPT Ic proxy
Capitol_Lake_01,L3,,,,,,,baseline_uncertainty_only,CPT Ic proxy
Capitol_Lake_01,L4,,,,,,,baseline_uncertainty_only,CPT Ic proxy
SODO_01,L1,,,,,,,baseline_uncertainty_only,CPT Ic proxy
SODO_01,L2,,,,,,,baseline_uncertainty_only,CPT Ic proxy
SODO_01,L3,,,,,,,baseline_uncertainty_only,CPT Ic proxy
SODO_01,L4,,,,,,,baseline_uncertainty_only,CPT Ic proxy
Capitol_Lake_02,L1,,,,,,,baseline_uncertainty_only,CPT Ic proxy
Capitol_Lake_02,L2,,,,,,,baseline_uncertainty_only,CPT Ic proxy
Capitol_Lake_02,L3,,,,,,,baseline_uncertainty_only,CPT Ic proxy
Harbor_Island_01,L1,,,,,,,baseline_uncertainty_only,CPT Ic proxy
Harbor_Island_01,L2,,,,,,,baseline_uncertainty_only,CPT Ic proxy
Harbor_Island_01,L3,,,,,,,baseline_uncertainty_only,CPT Ic proxy
Harbor_Island_02,L1,,,,,,,baseline_uncertainty_only,CPT Ic proxy
Harbor_Island_02,L2,,,,,,,baseline_uncertainty_only,CPT Ic proxy
Harbor_Island_02,L3,,,,,,,baseline_uncertainty_only,CPT Ic proxy
Harbor_Island_02,L4,,,,,,,baseline_uncertainty_only,CPT Ic proxy
SODO_02,L1,,,,,,,baseline_uncertainty_only,CPT Ic proxy
SODO_02,L2,,,,,,,baseline_uncertainty_only,CPT Ic proxy
SODO_02,L3,,,,,,,baseline_uncertainty_only,CPT Ic proxy
SODO_02,L4,,,,,,,baseline_uncertainty_only,CPT Ic proxy
SODO_03,L1,,,,,,,baseline_uncertainty_only,CPT Ic proxy
SODO_03,L2,,,,,,,baseline_uncertainty_only,CPT Ic proxy
SODO_03,L3,,,,,,,baseline_uncertainty_only,CPT Ic proxy
SODO_04,L1,,,,,,,baseline_uncertainty_only,CPT Ic proxy
SODO_04,L2,,,,,,,baseline_uncertainty_only,CPT Ic proxy
SODO_04,L3,,,,,,,baseline_uncertainty_only,CPT Ic proxy
SODO_04,L4,,,,,,,baseline_uncertainty_only,CPT Ic proxy
Boeing_Field_01,L1,,,,,,,baseline_uncertainty_only,CPT Ic proxy
Boeing_Field_01,L2,,,,,,,baseline_uncertainty_only,CPT Ic proxy
Boeing_Field_01,L3,,,,,,,baseline_uncertainty_only,CPT Ic proxy
Boeing_Field_01,L4,,,,,,,baseline_uncertainty_only,CPT Ic proxy
Duwamish_01,L1,,,,,,,baseline_uncertainty_only,CPT Ic proxy
Duwamish_01,L2,,,,,,,baseline_uncertainty_only,CPT Ic proxy
Duwamish_01,L3,,,,,,,baseline_uncertainty_only,CPT Ic proxy
Duwamish_01,L4,,,,,,,baseline_uncertainty_only,CPT Ic proxy
Discovery_Park_01,L1,,,,,,,baseline_uncertainty_only,CPT Ic proxy
Discovery_Park_01,L2,,,,,,,baseline_uncertainty_only,CPT Ic proxy
Discovery_Park_01,L3,,,,,,,baseline_uncertainty_only,CPT Ic proxy
Elliott_Ave_01,L1,,,,,,,baseline_uncertainty_only,CPT Ic proxy
Elliott_Ave_01,L2,,,,,,,baseline_uncertainty_only,CPT Ic proxy
Elliott_Ave_01,L3,,,,,,,baseline_uncertainty_only,CPT Ic proxy
Elliott_Ave_01,L4,,,,,,,baseline_uncertainty_only,CPT Ic proxy
Smith_Cove_01,L1,,,,,,,baseline_uncertainty_only,CPT Ic proxy
Smith_Cove_01,L2,,,,,,,baseline_uncertainty_only,CPT Ic proxy
Smith_Cove_01,L3,,,,,,,baseline_uncertainty_only,CPT Ic proxy
Smith_Cove_01,L4,,,,,,,baseline_uncertainty_only,CPT Ic proxy
Smith_Cove_02,L1,,,,,,,baseline_uncertainty_only,CPT Ic proxy
Smith_Cove_02,L2,,,,,,,baseline_uncertainty_only,CPT Ic proxy
Smith_Cove_02,L3,,,,,,,baseline_uncertainty_only,CPT Ic proxy
Smith_Cove_02,L4,,,,,,,baseline_uncertainty_only,CPT Ic proxy
Emerald_Downs_01,L1,,,,,,,baseline_uncertainty_only,CPT Ic proxy
Emerald_Downs_01,L2,,,,,,,baseline_uncertainty_only,CPT Ic proxy
Emerald_Downs_01,L3,,,,,,,baseline_uncertainty_only,CPT Ic proxy
Bush_School_01,L1,,,,,,,baseline_uncertainty_only,CPT Ic proxy
Bush_School_01,L2,,,,,,,baseline_uncertainty_only,CPT Ic proxy
Bush_School_01,L3,,,,,,,baseline_uncertainty_only,CPT Ic proxy
Bush_School_01,L4,,,,,,,baseline_uncertainty_only,CPT Ic proxy
Factoria_01,L1,,,,,,,baseline_uncertainty_only,CPT Ic proxy
Factoria_01,L2,,,,,,,baseline_uncertainty_only,CPT Ic proxy
Factoria_01,L3,,,,,,,baseline_uncertainty_only,CPT Ic proxy
UW_01,L1,,,,,,,baseline_uncertainty_only,CPT Ic proxy
UW_01,L2,,,,,,,baseline_uncertainty_only,CPT Ic proxy
UW_01,L3,,,,,,,baseline_uncertainty_only,CPT Ic proxy
UW_01,L4,,,,,,,baseline_uncertainty_only,CPT Ic proxy
UW_02,L1,,,,,,,baseline_uncertainty_only,CPT Ic proxy
UW_02,L2,,,,,,,baseline_uncertainty_only,CPT Ic proxy
UW_02,L3,,,,,,,baseline_uncertainty_only,CPT Ic proxy
UW_02,L4,,,,,,,baseline_uncertainty_only,CPT Ic proxy
UW_03,L1,,,,,,,baseline_uncertainty_only,CPT Ic proxy
UW_03,L2,,,,,,,baseline_uncertainty_only,CPT Ic proxy
UW_03,L3,,,,,,,baseline_uncertainty_only,CPT Ic proxy
UW_03,L4,,,,,,,baseline_uncertainty_only,CPT Ic proxy
UW_04,L1,,,,,,,baseline_uncertainty_only,CPT Ic proxy
UW_04,L2,,,,,,,baseline_uncertainty_only,CPT Ic proxy
UW_04,L3,,,,,,,baseline_uncertainty_only,CPT Ic proxy
UW_04,L4,,,,,,,baseline_uncertainty_only,CPT Ic proxy
Issaquah_01,L1,,,,,,,baseline_uncertainty_only,CPT Ic proxy
Issaquah_01,L2,,,,,,,baseline_uncertainty_only,CPT Ic proxy
Issaquah_01,L3,,,,,,,baseline_uncertainty_only,CPT Ic proxy
Issaquah_01,L4,,,,,,,baseline_uncertainty_only,CPT Ic proxy
Blair_Waterway_01,L1,,,,,,,baseline_uncertainty_only,CPT Ic proxy
Blair_Waterway_01,L2,,,,,,,baseline_uncertainty_only,CPT Ic proxy
Blair_Waterway_01,L3,,,,,,,baseline_uncertainty_only,CPT Ic proxy
Blair_Waterway_01,L4,,,,,,,baseline_uncertainty_only,CPT Ic proxy
Green_River_01,L1,,,,,,,baseline_uncertainty_only,CPT Ic proxy
Green_River_01,L2,,,,,,,baseline_uncertainty_only,CPT Ic proxy
Green_River_01,L3,,,,,,,baseline_uncertainty_only,CPT Ic proxy
Green_River_01,L4,,,,,,,baseline_uncertainty_only,CPT Ic proxy
