site_id,borehole_id,layer_id,date,fc_pct,d50_mm,pi,gravel_pct,data_source,test_method,uncertainty_sd
Capitol_Lake_01,Capitol_Lake_01,L1,1995-12-18,,,,,DesignSafe PRJ-3758 Nisqually CPT case-history XLSX,not reported; CPT Ic retained as gradation proxy,
Capitol_Lake_01,Capitol_Lake_01,L2,1995-12-18,,,,,DesignSafe PRJ-3758 Nisqually CPT case-history XLSX,not reported; CPT Ic retained as gradation proxy,
Capitol_Lake_01,Capitol_Lake_01,L3,1995-12-18,,,,,DesignSafe PRJ-3758 Nisqually CPT case-history XLSX,not reported; CPT Ic retained as gradation proxy,
Capitol_Lake_01,Capitol_Lake_01,L4,1995-12-18,,,,,DesignSafe PRJ-3758 Nisqually CPT case-history XLSX,not reported; CPT Ic retained as gradation proxy,
SODO_01,SODO_01,L1,1995-01-17,,,,,DesignSafe PRJ-3758 Nisqually CPT case-history XLSX,not reported; CPT Ic retained as gradation proxy,
SODO_01,SODO_01,L2,1995-01-17,,,,,DesignSafe PRJ-3758 Nisqually CPT case-history XLSX,not reported; CPT Ic retained as gradation proxy,
SODO_01,SODO_01,L3,1995-01-17,,,,,DesignSafe PRJ-3758 Nisqually CPT case-history XLSX,not reported; CPT Ic retained as gradation proxy,
SODO_01,SODO_01,L4,1995-01-17,,,,,DesignSafe PRJ-3758 Nisqually CPT case-history XLSX,not reported; CPT Ic retained as gradation proxy,
Capitol_Lake_02,Capitol_Lake_02,L1,1995-12-18,,,,,DesignSafe PRJ-3758 Nisqually CPT case-history XLSX,not reported; CPT Ic retained as gradation proxy,
Capitol_Lake_02,Capitol_Lake_02,L2,1995-12-18,,,,,DesignSafe PRJ-3758 Nisqually CPT case-history XLSX,not reported; CPT Ic retained as gradation proxy,
Capitol_Lake_02,Capitol_Lake_02,L3,1995-12-18,,,,,DesignSafe PRJ-3758 Nisqually CPT case-history XLSX,not reported; CPT Ic retained as gradation proxy,
Harbor_Island_01,Harbor_Island_01,L1,1999-03-09,,,,,DesignSafe PRJ-3758 Nisqually CPT case-history XLSX,not reported; CPT Ic retained as gradation proxy,
Harbor_Island_01,Harbor_Island_01,L2,1999-03-09,,,,,DesignSafe PRJ-3758 Nisqually CPT case-history XLSX,not reported; CPT Ic retained as gradation proxy,
Harbor_Island_01,Harbor_Island_01,L3,1999-03-09,,,,,DesignSafe PRJ-3758 Nisqually CPT case-history XLSX,not reported; CPT Ic retained as gradation proxy,
Harbor_Island_02,Harbor_Island_02,L1,1997-07-19,,,,,DesignSafe PRJ-3758 Nisqually CPT case-history XLSX,not reported; CPT Ic retained as gradation proxy,
Harbor_Island_02,Harbor_Island_02,L2,1997-07-19,,,,,DesignSafe PRJ-3758 Nisqually CPT case-history XLSX,not reported; CPT Ic retained as gradation proxy,
Harbor_Island_02,Harbor_Island_02,L3,1997-07-19,,,,,DesignSafe PRJ-3758 Nisqually CPT case-history XLSX,not reported; CPT Ic retained as gradation proxy,
Harbor_Island_02,Harbor_Island_02,L4,1997-07-19,,,,,DesignSafe PRJ-3758 Nisqually CPT case-history XLSX,not reported; CPT Ic retained as gradation proxy,
SODO_02,SODO_02,L1,1992-02-24,,,,,DesignSafe PRJ-3758 Nisqually CPT case-history XLSX,not reported; CPT Ic retained as gradation proxy,
SODO_02,SODO_02,L2,1992-02-24,,,,,DesignSafe PRJ-3758 Nisqually CPT case-history XLSX,not reported; CPT Ic retained as gradation proxy,
SODO_02,SODO_02,L3,1992-02-24,,,,,DesignSafe PRJ-3758 Nisqually CPT case-history XLSX,not reported; CPT Ic retained as gradation proxy,
SODO_02,SODO_02,L4,1992-02-24,,,,,DesignSafe PRJ-3758 Nisqually CPT case-history XLSX,not reported; CPT Ic retained as gradation proxy,
SODO_03,SODO_03,L1,1987-07-27,,,,,DesignSafe PRJ-3758 Nisqually CPT case-history XLSX,not reported; CPT Ic retained as gradation proxy,
SODO_03,SODO_03,L2,1987-07-27,,,,,DesignSafe PRJ-3758 Nisqually CPT case-history XLSX,not reported; CPT Ic retained as gradation proxy,
SODO_03,SODO_03,L3,1987-07-27,,,,,DesignSafe PRJ-3758 Nisqually CPT case-history XLSX,not reported; CPT Ic retained as gradation proxy,
SODO_04,SODO_04,L1,2003-03-24,,,,,DesignSafe PRJ-3758 Nisqually CPT case-history XLSX,not reported; CPT Ic retained as gradation proxy,
SODO_04,SODO_04,L2,2003-03-24,,,,,DesignSafe PRJ-3758 Nisqually CPT case-history XLSX,not reported; CPT Ic retained as gradation proxy,
SODO_04,SODO_04,L3,2003-03-24,,,,,DesignSafe PRJ-3758 Nisqually CPT case-history XLSX,not reported; CPT Ic retained as gradation proxy,
SODO_04,SODO_04,L4,2003-03-24,,,,,DesignSafe PRJ-3758 Nisqually CPT case-history XLSX,not reported; CPT Ic retained as gradation proxy,
Boeing_Field_01,Boeing_Field_01,L1,2000-03-31,,,,,DesignSafe PRJ-3758 Nisqually CPT case-history XLSX,not reported; CPT Ic retained as gradation proxy,
Boeing_Field_01,Boeing_Field_01,L2,2000-03-31,,,,,DesignSafe PRJ-3758 Nisqually CPT case-history XLSX,not reported; CPT Ic retained as gradation proxy,
Boeing_Field_01,Boeing_Field_01,L3,2000-03-31,,,,,DesignSafe PRJ-3758 Nisqually CPT case-history XLSX,not reported; CPT Ic retained as gradation proxy,
Boeing_Field_01,Boeing_Field_01,L4,2000-03-31,,,,,DesignSafe PRJ-3758 Nisqually CPT case-history XLSX,not reported; CPT Ic retained as gradation proxy,
Duwamish_01,Duwamish_01,L1,1990-05-06,,,,,DesignSafe PRJ-3758 Nisqually CPT case-history XLSX,not reported; CPT Ic retained as gradation proxy,
Duwamish_01,Duwamish_01,L2,1990-05-06,,,,,DesignSafe PRJ-3758 Nisqually CPT case-history XLSX,not reported; CPT Ic retained as gradation proxy,
Duwamish_01,Duwamish_01,L3,1990-05-06,,,,,DesignSafe PRJ-3758 Nisqually CPT case-history XLSX,not reported; CPT Ic retained as gradation proxy,
Duwamish_01,Duwamish_01,L4,1990-05-06,,,,,DesignSafe PRJ-3758 Nisqually CPT case-history XLSX,not reported; CPT Ic retained as gradation proxy,
Discovery_Park_01,Discovery_Park_01,L1,1989-01-10,,,,,DesignSafe PRJ-3758 Nisqually CPT case-history XLSX,not reported; CPT Ic retained as gradation proxy,
Discovery_Park_01,Discovery_Park_01,L2,1989-01-10,,,,,DesignSafe PRJ-3758 Nisqually CPT case-history XLSX,not reported; CPT Ic retained as gradation proxy,
Discovery_Park_01,Discovery_Park_01,L3,1989-01-10,,,,,DesignSafe PRJ-3758 Nisqually CPT case-history XLSX,not reported; CPT Ic retained as gradation proxy,
Elliott_Ave_01,Elliott_Ave_01,L1,1997-08-13,,,,,DesignSafe PRJ-3758 Nisqually CPT case-history XLSX,not reported; CPT Ic retained as gradation proxy,
Elliott_Ave_01,Elliott_Ave_01,L2,1997-08-13,,,,,DesignSafe PRJ-3758 Nisqually CPT case-history XLSX,not reported; CPT Ic retained as gradation proxy,
Elliott_Ave_01,Elliott_Ave_01,L3,1997-08-13,,,,,DesignSafe PRJ-3758 Nisqually CPT case-history XLSX,not reported; CPT Ic retained as gradation proxy,
Elliott_Ave_01,Elliott_Ave_01,L4,1997-08-13,,,,,DesignSafe PRJ-3758 Nisqually CPT case-history XLSX,not reported; CPT Ic retained as gradation proxy,
Smith_Cove_01,Smith_Cove_01,L1,1997-11-14,,,,,DesignSafe PRJ-3758 Nisqually CPT case-history XLSX,not reported; CPT Ic retained as gradation proxy,
Smith_Cove_01,Smith_Cove_01,L2,1997-11-14,,,,,DesignSafe PRJ-3758 Nisqually CPT case-history XLSX,not reported; CPT Ic retained as gradation proxy,
Smith_Cove_01,Smith_Cove_01,L3,1997-11-14,,,,,DesignSafe PRJ-3758 Nisqually CPT case-history XLSX,not reported; CPT Ic retained as gradation proxy,
Smith_Cove_01,Smith_Cove_01,L4,1997-11-14,,,,,DesignSafe PRJ-3758 Nisqually CPT case-history XLSX,not reported; CPT Ic retained as gradation proxy,
Smith_Cove_02,Smith_Cove_02,L1,2000-02-11,,,,,DesignSafe PRJ-3758 Nisqually CPT case-history XLSX,not reported; CPT Ic retained as gradation proxy,
Smith_Cove_02,Smith_Cove_02,L2,2000-02-11,,,,,DesignSafe PRJ-3758 Nisqually CPT case-history XLSX,not reported; CPT Ic retained as gradation proxy,
Smith_Cove_02,Smith_Cove_02,L3,2000-02-11,,,,,DesignSafe PRJ-3758 Nisqually CPT case-history XLSX,not reported; CPT Ic retained as gradation proxy,
Smith_Cove_02,Smith_Cove_02,L4,2000-02-11,,,,,DesignSafe PRJ-3758 Nisqually CPT case-history XLSX,not reported; CPT Ic retained as gradation proxy,
Emerald_Downs_01,Emerald_Downs_01,L1,1992-09-14,,,,,DesignSafe PRJ-3758 Nisqually CPT case-history XLSX,not reported; CPT Ic retained as gradation proxy,
Emerald_Downs_01,Emerald_Downs_01,L2,1992-09-14,,,,,DesignSafe PRJ-3758 Nisqually CPT case-history XLSX,not reported; CPT Ic retained as gradation proxy,
Emerald_Downs_01,Emerald_Downs_01,L3,1992-09-14,,,,,DesignSafe PRJ-3758 Nisqually CPT case-history XLSX,not reported; CPT Ic retained as gradation proxy,
Bush_School_01,Bush_School_01,L1,2002-06-11,,,,,DesignSafe PRJ-3758 Nisqually CPT case-history XLSX,not reported; CPT Ic retained as gradation proxy,
Bush_School_01,Bush_School_01,L2,2002-06-11,,,,,DesignSafe PRJ-3758 Nisqually CPT case-history XLSX,not reported; CPT Ic retained as gradation proxy,
Bush_School_01,Bush_School_01,L3,2002-06-11,,,,,DesignSafe PRJ-3758 Nisqually CPT case-history XLSX,not reported; CPT Ic retained as gradation proxy,
Bush_School_01,Bush_School_01,L4,2002-06-11,,,,,DesignSafe PRJ-3758 Nisqually CPT case-history XLSX,not reported; CPT Ic retained as gradation proxy,
Factoria_01,Factoria_01,L1,1979-02-08,,,,,DesignSafe PRJ-3758 Nisqually CPT case-history XLSX,not reported; CPT Ic retained as gradation proxy,
Factoria_01,Factoria_01,L2,1979-02-08,,,,,DesignSafe PRJ-3758 Nisqually CPT case-history XLSX,not reported; CPT Ic retained as gradation proxy,
Factoria_01,Factoria_01,L3,1979-02-08,,,,,DesignSafe PRJ-3758 Nisqually CPT case-history XLSX,not reported; CPT Ic retained as gradation proxy,
UW_01,UW_01,L1,1996-02-28,,,,,DesignSafe PRJ-3758 Nisqually CPT case-history XLSX,not reported; CPT Ic retained as gradation proxy,
UW_01,UW_01,L2,1996-02-28,,,,,DesignSafe PRJ-3758 Nisqually CPT case-history XLSX,not reported; CPT Ic retained as gradation proxy,
UW_01,UW_01,L3,1996-02-28,,,,,DesignSafe PRJ-3758 Nisqually CPT case-history XLSX,not reported; CPT Ic retained as gradation proxy,
UW_01,UW_01,L4,1996-02-28,,,,,DesignSafe PRJ-3758 Nisqually CPT case-history XLSX,not reported; CPT Ic retained as gradation proxy,
UW_02,UW_02,L1,1996-02-29,,,,,DesignSafe PRJ-3758 Nisqually CPT case-history XLSX,not reported; CPT Ic retained as gradation proxy,
UW_02,UW_02,L2,1996-02-29,,,,,DesignSafe PRJ-3758 Nisqually CPT case-history XLSX,not reported; CPT Ic retained as gradation proxy,
UW_02,UW_02,L3,1996-02-29,,,,,DesignSafe PRJ-3758 Nisqually CPT case-history XLSX,not reported; CPT Ic retained as gradation proxy,
UW_02,UW_02,L4,1996-02-29,,,,,DesignSafe PRJ-3758 Nisqually CPT case-history XLSX,not reported; CPT Ic retained as gradation proxy,
UW_03,UW_03,L1,1996-02-09,,,,,DesignSafe PRJ-3758 Nisqually CPT case-history XLSX,not reported; CPT Ic retained as gradation proxy,
UW_03,UW_03,L2,1996-02-09,,,,,DesignSafe PRJ-3758 Nisqually CPT case-history XLSX,not reported; CPT Ic retained as gradation proxy,
UW_03,UW_03,L3,1996-02-09,,,,,DesignSafe PRJ-3758 Nisqually CPT case-history XLSX,not reported; CPT Ic retained as gradation proxy,
UW_03,UW_03,L4,1996-02-09,,,,,DesignSafe PRJ-3758 Nisqually CPT case-history XLSX,not reported; CPT Ic retained as gradation proxy,
UW_04,UW_04,L1,1996-02-12,,,,,DesignSafe PRJ-3758 Nisqually CPT case-history XLSX,not reported; CPT Ic retained as gradation proxy,
UW_04,UW_04,L2,1996-02-12,,,,,DesignSafe PRJ-3758 Nisqually CPT case-history XLSX,not reported; CPT Ic retained as gradation proxy,
UW_04,UW_04,L3,1996-02-12,,,,,DesignSafe PRJ-3758 Nisqually CPT case-history XLSX,not reported; CPT Ic retained as gradation proxy,
UW_04,UW_04,L4,1996-02-12,,,,,DesignSafe PRJ-3758 Nisqually CPT case-history XLSX,not reported; CPT Ic retained as gradation proxy,
Issaquah_01,Issaquah_01,L1,1992-10-13,,,,,DesignSafe PRJ-3758 Nisqually CPT case-history XLSX,not reported; CPT Ic retained as gradation proxy,
Issaquah_01,Issaquah_01,L2,1992-10-13,,,,,DesignSafe PRJ-3758 Nisqually CPT case-history XLSX,not reported; CPT Ic retained as gradation proxy,
Issaquah_01,Issaquah_01,L3,1992-10-13,,,,,DesignSafe PRJ-3758 Nisqually CPT case-history XLSX,not reported; CPT Ic retained as gradation proxy,
Issaquah_01,Issaquah_01,L4,1992-10-13,,,,,DesignSafe PRJ-3758 Nisqually CPT case-history XLSX,not reported; CPT Ic retained as gradation proxy,
Blair_Waterway_01,Blair_Waterway_01,L1,1981-02-09,,,,,DesignSafe PRJ-3758 Nisqually CPT case-history XLSX,not reported; CPT Ic retained as gradation proxy,
Blair_Waterway_01,Blair_Waterway_01,L2,1981-02-09,,,,,DesignSafe PRJ-3758 Nisqually CPT case-history XLSX,not reported; CPT Ic retained as gradation proxy,
Blair_Waterway_01,Blair_Waterway_01,L3,1981-02-09,,,,,DesignSafe PRJ-3758 Nisqually CPT case-history XLSX,not reported; CPT Ic retained as gradation proxy,
Blair_Waterway_01,Blair_Waterway_01,L4,1981-02-09,,,,,DesignSafe PRJ-3758 Nisqually CPT case-history XLSX,not reported; CPT Ic retained as gradation proxy,
Green_River_01,Green_River_01,L1,1978-11-01,,,,,DesignSafe PRJ-3758 Nisqually CPT case-history XLSX,not reported; CPT Ic retained as gradation proxy,
Green_River_01,Green_River_01,L2,1978-11-01,,,,,DesignSafe PRJ-3758 Nisqually CPT case-history XLSX,not reported; CPT Ic retained as gradation proxy,
Green_River_01,Green_River_01,L3,1978-11-01,,,,,DesignSafe PRJ-3758 Nisqually CPT case-history XLSX,not reported; CPT Ic retained as gradation proxy,
Green_River_01,Green_River_01,L4,1978-11-01,,,,,DesignSafe PRJ-3758 Nisqually CPT case-history XLSX,not reported; CPT Ic retained as gradation proxy,
